종목명,연도,분기,매출액,영업이익,영업이익률
주성엔지니어링,2024,Q1,56571324569.0,7029890292.0,0.12426596593872657
주성엔지니어링,2024,Q2,97332738359.0,36063378159.0,0.3705164240420793
주성엔지니어링,2024,Q3,147204570853.0,52171424088.0,0.3544144301069219
주성엔지니어링,2024,Q4,108284737807.0,1931519049.0,0.017837408005204017
주성엔지니어링,2025,Q1,120846474023.0,33907650658.0,0.2805845262108893
주성엔지니어링,2025,Q2,78792213478.0,6575447323.0,0.08345300928544121
주성엔지니어링,2025,Q3,58773454725.0,3355821494.0,0.05709757082856252
주성엔지니어링,2025,Q4,52280442586.0,-12581107733.0,-0.24064654219987516
주성엔지니어링,2026,Q1,54879092703.0,-7031233902.0,-0.12812226944152147
KG모빌리티,2023,Q1,1085018862202.0,9384259957.0,0.008648937160368844
KG모빌리티,2023,Q2,1005351233425.0,18781201156.0,0.018681233514795396
KG모빌리티,2023,Q3,904738804045.0,14261211679.0,0.015762794317254324
KG모빌리티,2023,Q4,741260068898.0,-29879075385.0,-0.04030849176783522
