종목명,상태,공시일,매출액_당기(억원),매출액_YoY(%),매출액_흑자적자전환_YoY,영업이익_당기(억원),영업이익_YoY(%),영업이익_흑자적자전환_YoY
케이엔더블유,ok,20260806.0,184.13,-8.75,,-18.37,-244.17,
NPC,code_not_found,,,,,,,
야스,ok,20260730.0,872.2,1318.8,,280.16,,흑자전환
RF시스템즈,ok,20260727.0,115.84,11.39,,16.66,5.28,
벽산,ok,20260730.0,1025.15,-2.7,,57.33,26.7,
KTcs,ok,20260807.0,1613.89,-0.8,,76.08,-13.1,
NI스틸,ok,20260727.0,762.43,20.99,,78.38,4.2,
아이크래프트,ok,20260810.0,400.3,36.25,,-2.91,59.63,
태양금속,code_not_found,,,,,,,
빅텍,ok,20260807.0,225.74,54.0,,6.24,-27.5,
중앙백신,ok,20260805.0,119.01,-1.2,,11.43,-23.8,
한국수출포장,code_not_found,,,,,,,
조이시티,ok,20260804.0,386.35,17.08,,5.83,-81.48,
가온그룹,ok,20260731.0,1270.25,-4.7,,78.99,434.3,
한신기계,code_not_found,,,,,,,
