종목명,기준일,수주잔고(억원)
아이티센글로벌,20260323,187.3
아이티센글로벌,20251113,217.0
아이티센글로벌,20250814,251.8
아이티센글로벌,20250515,295.4
아이티센글로벌,20250320,85.6
노루홀딩스,20260515,590.2
노루홀딩스,20260312,-13.8
노루홀딩스,20251114,201.2
노루홀딩스,20250814,419.1
노루홀딩스,20250515,654.1
노루홀딩스,20241114,184.1
노루홀딩스,20240814,407.9
아바코,20260513,5046.4
아바코,20251114,2647.7
아바코,20250814,2888.9
아바코,20250513,4541.0
아바코,20250318,4523.9
아바코,20241114,4809.7
아바코,20240814,5886.7
하나제약,20260515,555.2
하나제약,20260320,555.2
하나제약,20251114,559.7
하나제약,20250814,573.8
현대엘리베이터,20260515,22407.8
현대엘리베이터,20260318,20908.2
현대엘리베이터,20251114,20583.1
현대엘리베이터,20250813,20965.0
현대엘리베이터,20250515,18822.0
현대엘리베이터,20250318,18682.1
현대엘리베이터,20241114,20560.1
현대엘리베이터,20240814,22598.3
한텍,20260515,1816.4
한텍,20251114,1604.8
한텍,20250515,93046.8
DL이앤씨,20260515,79521.4
DL이앤씨,20260317,84208.1
DL이앤씨,20251114,83239.3
DL이앤씨,20250814,85135.0
DL이앤씨,20250515,86410.1
DL이앤씨,20250314,218720.8
DL이앤씨,20241114,81951.1
HD현대,20260515,12872.4
HD현대,20260320,42158.7
HD현대,20251114,30566.3
HD현대,20250814,20677.3
HD현대,20250515,11008.8
HD현대,20250319,42892.8
HD현대,20241114,32242.1
HD현대,20240814,20247.7
효성,20260514,77760.6
효성,20260312,75269.2
효성,20251113,75269.2
효성,20250814,75269.2
효성,20250515,75269.2
효성,20241114,88827.3
효성,20240814,88827.3
유바이오로직스,20260514,941.9
유바이오로직스,20260317,329.9
유바이오로직스,20251110,469.1
유바이오로직스,20250513,788.0
유바이오로직스,20241112,532.0
DL,20260515,79521.4
DL,20251114,83239.3
DL,20250814,85135.0
DL,20250515,86410.1
DL,20250317,87674.0
DL,20241114,81951.1
DL,20240814,74344.7
고려아연,20260515,29161.3
고려아연,20251113,10793.8
고려아연,20250814,19982.5
고려아연,20250515,29345.0
고려아연,20241113,8321.5
고려아연,20240814,17584.8
GS,20260515,5263.6
GS,20251114,29.3
GS,20250814,170.2
GS,20250515,193.6
GS,20241114,324.2
GS,20240814,68.0
영풍,20260515,1423.2
영풍,20251114,2037.1
영풍,20250814,2053.7
영풍,20250515,1383.8
영풍,20250319,5371.1
영풍,20241114,3904.9
영풍,20240814,3682.9
화천기공,20260515,418.4
SUN&L,20260515,758.9
SUN&L,20260323,703.2
SUN&L,20251114,739.8
SUN&L,20250814,933.7
SUN&L,20250515,1095.5
SUN&L,20250321,1056.6
